tag,yr,mo,total
RAILEUROPE,2019,4,#VALUE!
RAILEUROPE,2019,5,#VALUE!
RAILEUROPE,2019,6,#VALUE!
RAILEUROPE,2019,7,#VALUE!
RAILEUROPE,2019,8,#VALUE!
RAILEUROPE,2019,9,#VALUE!
RAILPLUS,2018,1,347
RAILPLUS,2018,2,1134
RAILPLUS,2018,3,2075
RAILPLUS,2018,4,3000
RAILPLUS,2018,5,3957
RAILPLUS,2018,6,4952
RAILPLUS,2018,7,5898
RAILPLUS,2018,8,6840
RAILPLUS,2018,9,7611
RAILPLUS,2018,10,8235
RAILPLUS,2018,11,8827
RAILPLUS,2018,12,9307
RAILPLUS,2019,1,9777
RAILPLUS,2019,2,10454
RAILPLUS,2019,3,11343
RAILPLUS,2019,4,12285
RAILPLUS,2019,5,13252
RAILPLUS,2019,6,14230
RAILPLUS,2019,7,15167
RAILPLUS,2019,8,16043
RAILPLUS,2019,9,16677
REARDEN,2018,1,"1,838"
REARDEN,2018,2,"5,273"
REARDEN,2018,3,"8,795"
REARDEN,2018,4,"12,681"
REARDEN,2018,5,"16,435"
REARDEN,2018,6,"19,724"
REARDEN,2018,7,"22,760"
REARDEN,2018,8,"25,690"
REARDEN,2018,9,"28,682"
REARDEN,2018,10,"32,075"
REARDEN,2018,11,"35,443"
REARDEN,2018,12,37905
REARDEN,2019,1,"40,406"
REARDEN,2019,2,"43,271"
REARDEN,2019,3,"46,002"
REARDEN,2019,4,"48,959"
REARDEN,2019,5,"51,931"
REARDEN,2019,6,"54,696"
REARDEN,2019,7,"57,319"
REARDEN,2019,8,"59,869"
REARDEN,2019,9,"62,152"
ROME2RIO,2018,1,"1,259"
ROME2RIO,2018,2,3196
ROME2RIO,2018,3,"4,908"
ROME2RIO,2018,4,"7,214"
ROME2RIO,2018,5,"10,007"
ROME2RIO,2018,6,"13,185"
ROME2RIO,2018,7,"16,511"
ROME2RIO,2018,8,"19,464"
ROME2RIO,2018,9,"22,072"
ROME2RIO,2018,10,"24,817"
ROME2RIO,2018,11,"27,530"
ROME2RIO,2018,12,"29,872"
ROME2RIO,2019,1,"32,431"
ROME2RIO,2019,2,"35,478"
ROME2RIO,2019,3,"39,377"
ROME2RIO,2019,4,"44,141"
ROME2RIO,2019,5,"49,472"
ROME2RIO,2019,6,"55,891"
ROME2RIO,2019,7,"63,063"
ROME2RIO,2019,8,"70,159"
ROME2RIO,2019,9,"75,897"
SILVERRAIL,2018,1,7
